Código,Nome da Estação,UF,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Ano
82704,CRUZEIRO DO SUL,AC,24.2,24.1,24.2,24.2,23.6,23.1,22.6,23.2,23.6,24.1,24.2,24.2,23.8
82915,RIO BRANCO,AC,24.4,24.4,24.5,24.3,23.4,22.4,21.7,22.4,23.2,24.3,24.5,24.5,23.7
82807,TARAUACA,AC,24.5,24.5,24.6,24.5,24,23.3,23,23.4,23.9,24.5,24.6,24.6,24.1
82989,AGUA BRANCA,AL,21.3,21.3,22,21.8,21.1,20,19.3,19,19.5,20.3,21,21.3,20.7
82994,MACEIO,AL,23.4,23.4,23.7,23.6,23.3,22.6,22.1,21.9,22.1,22.6,22.9,23.2,22.9
82992,PALMEIRA DOS INDIOS,AL,22.4,22.6,22.9,22.9,22.5,21.5,20.9,20.6,20.9,21.5,21.9,22.1,21.9
82990,PAO DE ACUCAR,AL,23.8,24.2,24.3,24.5,24,23.2,22.5,22.4,22.9,23.4,23.5,23.7,23.5
82996,PORTO DE PEDRAS,AL,24.4,24.6,25.2,25.1,24.5,23.6,22.9,22.6,23,23.6,24.2,24.5,24
82113,BARCELOS,AM,25.4,25.3,25.3,25.2,25.1,24.9,24.9,25.2,25.4,25.6,25.7,25.6,25.3
82410,BENJAMIN CONSTANT,AM,24.8,24.8,24.9,24.9,24.7,24.3,24.3,24.5,24.8,25,25,24.7,24.7
82425,COARI,AM,25.3,25.3,25.4,25.5,25.5,25.1,25.1,25.5,25.5,25.7,25.7,25.6,25.4
82326,CODAJAS,AM,24.9,24.8,24.9,25,25,24.8,24.8,25.1,25.2,25.5,25.4,25.1,25
82610,EIRUNEPE,AM,24.7,24.7,24.8,24.8,24.2,23.7,23.6,23.9,24.5,24.9,24.9,24.9,24.5
82212,FONTE BOA,AM,25.7,25.7,25.7,25.7,25.5,25.2,25.1,25.5,25.7,25.9,25.9,25.8,25.6
82067,IAUARETE,AM,24.8,24.8,24.9,24.9,24.7,24.4,24.1,24.4,24.8,24.9,25,24.9,24.7
82336,ITACOATIARA,AM,25.1,25,25.2,25.5,25.7,25.5,25.4,25.8,26,26.1,25.9,25.6,25.6
82723,LABREA,AM,25,25,25,25.1,24.8,24.2,23.9,24.4,24.7,25.1,25,25,24.8
82331,MANAUS,AM,24.8,24.8,24.9,25,25.1,25,24.8,25.1,25.3,25.5,25.5,25.2,25.1
82533,MANICORE,AM,25.3,25.2,25.4,25.6,25.4,25.4,25.2,25.4,25.6,25.7,25.7,25.5,25.5
82240,PARINTINS,AM,25.2,25.1,25.2,25.4,25.5,25.5,25.3,25.8,25.9,25.9,25.8,25.5,25.5
82106,SAO GABRIEL DA CACHOEIRA(UAUPES),AM,25,25.1,25.2,25.1,24.8,24.4,24.1,24.4,24.8,25.1,25.2,25.2,24.9
82317,TEFE,AM,25.5,25.4,25.6,25.6,25.5,25.2,25.2,25.6,25.9,26,25.9,25.7,25.6
82098,MACAPA,AP,25,24.9,25,25.3,25.5,25.5,25.3,25.7,25.7,25.8,25.7,25.5,25.4
82095,PORTO PLATON,AP,24.1,,24.3,24.5,24.5,24.5,24.3,24.6,24.9,24.7,24.7,24.5,
82092,SERRA DO NAVIO,AP,23.9,23.8,24,24.2,24.1,24,23.9,24.1,24.4,24.5,24.3,24.1,24.1
83249,ALAGOINHAS,BA,23.4,23.6,23.8,23.6,22.9,21.9,21,20.9,21.4,22.2,22.8,23.1,22.6
83179,BARRA,BA,21.9,22,22,21.7,20.9,19.9,19.3,19.4,20.2,21.1,21.5,21.8,21
83236,BARREIRAS,BA,22.7,22.7,22.8,22.5,21,19,18,18,19.4,20.9,22.1,22.6,21
83288,BOM JESUS DA LAPA,BA,22.9,23.1,23.2,22.7,21.3,19.6,18.8,19.1,20.3,21.4,22.4,22.7,21.5
83339,CAETITE,BA,19.4,19.4,19.6,19.1,17.8,16.4,15.6,15.5,16.8,17.9,18.9,19.6,18
83226,CAMACARI,BA,23.9,24,24.3,23.9,23.3,22.2,21.4,21.2,21.9,22.6,23.3,23.7,23
83398,CANAVIEIRAS,BA,24.8,24.9,25,24.5,23.2,21.9,21.5,21.3,22.3,23.3,24,24.6,23.4
83498,CARAVELAS,BA,24.4,24.7,24.8,24.2,22.9,21.6,21.1,20.8,21.5,22.5,23.3,24,23
83408,CARINHANHA,BA,22,22,22.1,21.5,19.9,18.2,17.7,17.9,19.2,20.3,21.5,21.9,20.4
83192,CIPO,BA,22.3,22.6,22.9,22.8,22.3,21.4,20.7,20.5,20.8,21.4,21.7,22.1,21.8
83286,CORRENTINA,BA,22.6,22.6,22.5,22.1,20.7,18.8,18.4,18.6,20.4,22,22.3,22.5,21.1
83222,CRUZ DAS ALMAS,BA,23,23.3,23.6,23.3,22.5,21.3,20.6,20.4,21,21.8,22.5,22.8,22.2
83221,FEIRA DE SANTANA,BA,23.5,23.7,23.9,23.5,22.6,21.6,20.8,20.7,21.4,22.4,23.2,23.3,22.6
83446,GUARATINGA,BA,23.2,23.4,23.4,22.8,21.6,20.4,19.7,19.7,20.6,21.3,22.1,22.8,21.8
83182,IRECE,BA,20.4,20.4,20.5,20.2,19.2,18,17.2,17.2,18,18.9,19.8,20.2,19.2
83244,ITABERABA,BA,22.4,22.7,22.9,22.6,21.7,20.5,19.7,19.6,20.4,21.3,22,22.4,21.5
83295,ITIRUCU (JAGUAQUARA),BA,20,20.1,20.3,20,18.9,17.6,16.9,16.7,17.5,18.5,19.3,19.8,18.8
83292,ITUACU,BA,21.5,21.6,21.8,21.6,20.6,19.1,18,18.2,19.1,20.2,21.1,21.4,20.4
83186,JACOBINA,BA,21.7,21.8,22.2,21.9,21,19.8,19.1,19.1,19.7,20.7,21.3,21.8,20.8
83242,LENCOIS,BA,22.3,22.4,22.5,22.2,21.2,19.9,19.1,19.2,19.8,20.8,21.6,22.1,21.1
83090,MONTE SANTO,BA,21.5,21.5,21.7,21.7,21.2,20.4,19.8,19.7,20.2,20.9,21.3,21.4,20.9
83184,MORRO DO CHAPEU,BA,18.8,19.1,19.3,19.1,18.1,16.9,16.1,15.9,16.7,17.7,18.4,18.8,17.9
82986,PAULO AFONSO,BA,22.6,22.7,23,22.9,22.4,21.5,20.6,20.4,20.8,21.5,22,22.3,21.9
82979,REMANSO,BA,23.1,23,23.2,23.1,22.2,21,20.4,20.1,21,22.1,22.6,22.9,22.1
83229,SALVADOR (ONDINA),BA,24.6,24.9,25,24.7,23.8,22.8,22.1,21.8,22.4,23.2,23.9,24.4,23.6
83088,SENHOR DO BONFIM,BA,20.6,20.7,21.1,21,20.3,19.3,18.5,18.3,18.8,19.5,20.1,20.6,19.9
83190,SERRINHA,BA,22.3,22.4,22.6,22.5,21.9,20.9,20.1,19.9,20.4,21,21.5,22.1,21.5
